d,o,h,l,c,v,ma5,ma20,ma60
2025-07-03,102.5,106.0,102.0,104.5,27595844,101.7,101.28,99.78
2025-07-04,105.0,105.5,103.0,104.0,9537563,102.4,101.13,100.07
2025-07-07,105.0,112.5,105.0,107.5,24705316,103.7,101.13,100.29
2025-07-08,107.0,109.5,106.0,109.5,7588703,105.5,101.28,100.52
2025-07-09,108.0,115.5,107.0,113.5,21329214,107.8,101.61,100.81
2025-07-10,113.5,114.5,112.0,112.5,7864582,109.4,102.18,101.08
2025-07-11,112.5,113.5,110.5,111.5,7300287,110.9,102.73,101.36
2025-07-14,110.5,110.5,108.0,108.0,7444523,111.0,103.19,101.62
2025-07-15,108.0,114.0,107.5,113.0,11292223,111.7,103.96,101.96
2025-07-16,113.0,113.5,111.5,112.0,7445602,111.4,104.61,102.29
2025-07-17,111.5,114.0,110.5,114.0,6083325,111.7,105.41,102.67
2025-07-18,114.5,114.5,113.5,114.0,4626816,112.2,106.24,103.0
2025-07-21,114.5,115.5,113.5,115.0,4396266,113.6,107.14,103.34
2025-07-22,114.5,116.0,112.0,113.0,4624326,113.6,107.8,103.62
2025-07-23,113.5,116.0,112.5,115.5,5985013,114.3,108.52,103.94
2025-07-24,116.0,118.0,115.0,117.0,5211324,114.9,109.42,104.26
2025-07-25,119.0,119.5,115.5,116.0,3657017,115.3,110.2,104.57
2025-07-28,117.0,117.5,115.5,117.5,2235730,115.8,111.03,104.87
2025-07-29,126.5,128.5,125.0,128.0,41740955,118.8,112.4,105.39
2025-07-30,125.0,127.0,123.5,124.5,19040722,120.6,113.53,105.81
2025-07-31,124.0,126.0,123.5,124.5,10779074,122.1,114.53,106.23
2025-08-01,123.5,126.0,122.5,122.5,6983395,123.4,115.45,106.57
2025-08-04,121.0,123.0,121.0,122.5,5280701,124.4,116.2,106.89
2025-08-05,122.0,123.0,120.5,121.0,4824114,123.0,116.78,107.18
2025-08-06,121.0,123.0,120.5,121.5,6507968,122.4,117.17,107.46
2025-08-07,122.5,124.5,121.5,124.0,6793165,122.3,117.75,107.82
2025-08-08,125.0,132.0,124.5,128.5,19746059,123.5,118.6,108.25
2025-08-11,131.5,141.5,131.5,141.5,27995648,127.3,120.28,108.93
2025-08-12,142.0,151.0,139.5,147.0,55257824,132.5,121.97,109.69
2025-08-13,156.5,161.5,154.5,160.5,98114200,140.3,124.4,110.69
2025-08-14,159.0,162.0,153.0,154.5,37548266,146.4,126.42,111.54
2025-08-15,157.0,162.0,155.0,160.0,28099189,152.7,128.72,112.52
2025-08-18,161.0,172.5,160.5,170.0,46390533,158.4,131.47,113.64
2025-08-19,172.0,173.0,164.0,166.0,29704583,162.2,134.12,114.72
2025-08-20,164.0,167.0,156.5,160.0,23024356,162.1,136.35,115.68
2025-08-21,164.0,170.0,162.0,168.5,26729986,164.9,138.93,116.76
2025-08-22,168.5,175.0,167.0,171.5,26639525,167.2,141.7,117.9
2025-08-25,182.0,187.5,180.0,181.0,31774398,169.4,144.88,119.22
2025-08-26,181.0,194.5,181.0,191.5,44273929,174.5,148.05,120.69
2025-08-27,194.5,201.0,190.5,193.0,35760339,181.1,151.47,122.12
2025-08-28,190.5,196.5,190.0,194.5,16707528,186.3,154.97,123.59
2025-08-29,198.5,198.5,190.5,196.0,17478898,191.2,158.65,125.08
2025-09-01,197.0,201.5,185.0,188.5,36250197,192.7,161.95,126.43
2025-09-02,194.5,194.5,180.5,183.0,25478447,191.0,165.05,127.7
2025-09-03,186.5,191.0,180.5,181.0,20297698,188.6,168.03,128.94
2025-09-04,185.5,186.5,172.0,173.0,24853054,184.3,170.47,130.14
2025-09-05,177.5,178.5,170.0,173.5,22909166,179.8,172.72,131.35
2025-09-08,174.0,174.0,166.5,166.5,20844763,175.4,173.97,132.48
2025-09-09,169.0,173.0,166.0,167.5,18955798,172.3,175.0,133.65
2025-09-10,169.0,173.0,166.5,168.0,18697424,169.7,175.38,134.79
2025-09-11,178.0,179.5,167.5,169.5,29332229,169.0,176.12,135.99
2025-09-12,173.0,173.5,168.5,169.5,16644517,168.2,176.6,137.19
2025-09-15,171.0,171.0,163.5,167.0,9838378,168.3,176.45,138.36
2025-09-16,167.0,178.0,165.5,173.0,24058851,169.4,176.8,139.57
2025-09-17,172.5,175.0,170.0,172.0,18298296,170.2,177.4,140.76
2025-09-18,172.0,173.0,166.0,168.5,20861171,170.0,177.4,141.92
2025-09-19,169.0,175.0,168.0,168.5,20043924,169.8,177.25,143.05
2025-09-22,170.0,177.0,168.0,174.5,17352710,171.3,176.93,144.28
2025-09-23,176.5,178.0,169.5,172.0,19157089,171.1,175.95,145.47
2025-09-24,172.0,172.0,167.5,169.5,9375037,170.6,174.78,146.59
2025-09-25,170.5,172.5,168.5,171.5,9057566,171.2,173.62,147.71
2025-09-26,171.0,171.5,162.5,165.5,15617455,170.6,172.1,148.73
2025-09-30,169.0,170.0,163.5,166.0,9369676,168.9,170.97,149.71
2025-10-01,165.5,167.0,161.5,162.0,7586919,166.9,169.93,150.58
2025-10-02,162.5,164.0,158.0,160.0,15479880,165.0,168.88,151.36
2025-10-03,160.0,164.0,160.0,163.5,9616678,163.4,168.4,152.21
2025-10-07,165.0,167.0,162.5,166.5,6118775,163.6,168.05,153.12
2025-10-08,165.5,168.0,163.5,167.0,6619429,163.8,168.07,154.11
2025-10-09,168.0,169.5,164.0,166.5,9173241,164.7,168.03,155.0
2025-10-13,156.0,161.0,156.0,159.5,15665752,164.6,167.6,155.79
2025-10-14,160.0,160.5,144.5,146.5,25047310,161.2,166.45,156.33
2025-10-15,148.0,149.5,145.0,146.5,10114398,157.2,165.3,156.88
2025-10-16,147.5,153.5,147.5,151.5,12249163,154.1,164.53,157.48
2025-10-17,151.5,152.0,147.0,148.0,7699520,150.4,163.28,158.07
2025-10-20,149.5,150.0,147.0,149.0,3781292,148.3,162.12,158.62
2025-10-21,152.0,165.0,151.5,165.0,23492281,152.0,161.95,159.43
2025-10-22,165.0,165.0,160.0,162.0,12700120,155.1,161.62,160.19
2025-10-23,161.0,164.0,160.0,163.0,10199380,157.4,161.05,160.95
2025-10-27,167.0,171.5,164.5,170.0,21383584,161.8,160.95,161.65
2025-10-28,171.5,172.0,166.5,167.5,7281759,165.5,160.85,162.37
2025-10-29,169.5,170.5,167.5,168.5,6748679,166.2,160.7,163.1
2025-10-30,169.0,169.0,163.5,165.5,7381512,166.9,160.7,163.82
2025-10-31,167.5,168.5,164.0,164.5,6089360,167.2,160.62,164.52
2025-11-03,162.0,166.0,160.0,165.5,10130071,166.3,160.8,165.26
2025-11-04,165.5,168.0,160.0,161.0,6556765,165.0,160.85,165.92
2025-11-05,157.0,157.5,153.0,156.5,7797842,162.6,160.5,166.46
2025-11-06,158.0,160.0,155.0,157.5,10157470,161.0,160.05,166.94
2025-11-07,155.5,156.5,153.0,155.0,4411256,159.1,159.45,167.17
2025-11-10,157.5,157.5,155.0,155.5,2949408,157.1,158.9,167.31
2025-11-11,157.5,159.0,155.5,155.5,4877900,156.0,158.7,167.22
2025-11-12,156.0,156.0,143.0,145.0,24978013,153.7,158.62,167.07
2025-11-13,144.5,154.0,144.0,151.5,23570499,152.5,158.88,166.93
2025-11-14,147.5,149.0,140.5,141.5,13579431,149.8,158.38,166.45
2025-11-17,142.5,145.0,140.0,141.5,12019960,147.0,158.05,166.04
2025-11-18,140.5,145.0,139.0,140.5,13796433,144.0,157.62,165.72
2025-11-19,138.5,139.0,135.5,137.0,15833957,142.4,156.22,165.19
2025-11-20,140.0,143.5,139.0,141.0,16724072,140.3,155.18,164.68
2025-11-21,136.0,144.0,135.5,142.5,15835347,140.5,154.15,164.04
2025-11-24,141.0,141.0,135.0,136.5,18935916,139.5,152.47,163.12
2025-11-25,141.0,142.0,138.0,138.5,9727203,139.1,151.03,162.22
2025-11-26,138.5,141.0,137.0,139.5,7814588,139.6,149.57,161.3
2025-11-27,141.5,144.5,140.5,142.5,6804854,139.9,148.43,160.41
2025-11-28,144.0,146.5,141.5,146.0,4969259,140.6,147.5,159.7
2025-12-01,147.0,151.5,145.0,147.0,8456036,142.7,146.57,159.1
2025-12-02,148.5,149.0,145.0,145.5,4034336,144.1,145.8,158.51
2025-12-03,145.0,147.0,144.0,144.5,3490456,145.1,145.2,158.03
2025-12-04,146.0,147.5,143.5,145.0,3717473,145.6,144.57,157.56
2025-12-05,145.0,149.0,143.5,147.0,6463116,145.8,144.18,157.23
2025-12-08,145.5,148.5,144.5,147.0,5867090,145.8,143.75,156.89
2025-12-09,146.0,150.0,145.0,147.0,7969345,146.1,143.32,156.54
2025-12-10,147.0,147.0,145.0,147.0,5824792,146.6,143.43,156.17
2025-12-11,147.5,149.5,145.0,145.5,6649386,146.7,143.12,155.77
2025-12-12,147.5,147.5,142.0,142.5,4806993,145.8,143.18,155.36
2025-12-15,139.0,141.0,138.0,140.0,5403708,144.4,143.1,154.81
2025-12-16,139.5,140.0,135.0,136.5,6178977,142.3,142.9,154.22
2025-12-17,138.0,141.0,137.0,139.5,5248433,140.8,143.03,153.73
2025-12-18,139.0,139.0,137.5,138.5,3179282,139.4,142.9,153.23
2025-12-19,140.0,140.5,137.5,139.0,7089263,138.7,142.72,152.64
2025-12-22,141.5,147.0,141.5,145.0,9207478,139.7,143.15,152.19
2025-12-23,145.5,147.5,143.5,145.0,6930499,141.4,143.47,151.78
2025-12-24,144.5,146.5,144.0,145.5,6299343,142.6,143.78,151.35
2025-12-26,145.5,146.5,143.0,143.5,6887588,143.6,143.82,150.98
2025-12-29,145.5,145.5,142.5,143.0,3502692,144.4,143.68,150.6
2025-12-30,143.0,143.0,140.0,141.0,5573811,143.6,143.38,150.25
2025-12-31,142.0,143.5,141.0,142.5,2907877,143.1,143.22,149.96
2026-01-02,142.5,142.5,138.5,141.5,6326384,142.3,143.07,149.59
2026-01-05,142.0,144.0,138.0,141.0,10778164,141.8,142.88,149.17
2026-01-06,141.5,145.5,141.5,145.0,5000126,142.2,142.78,148.8
2026-01-07,148.0,149.5,146.0,148.5,9368546,143.7,142.85,148.5
2026-01-08,149.5,150.0,142.5,144.0,4883130,144.0,142.7,148.24
2026-01-09,143.5,145.5,140.5,143.5,4566514,144.4,142.53,148.19
2026-01-12,145.5,158.5,145.5,158.5,17376535,147.9,143.18,148.39
2026-01-13,170.5,172.0,162.5,164.5,26186384,151.8,144.28,148.61
2026-01-14,172.0,176.5,167.0,169.0,29003781,155.9,145.72,148.96
2026-01-15,169.0,174.0,163.0,168.0,22001571,160.7,147.3,149.28
2026-01-16,170.0,179.5,167.0,175.0,39066346,167.0,149.07,149.44
2026-01-19,180.0,181.5,169.5,170.0,23104545,169.3,150.65,149.57
2026-01-20,170.0,170.0,163.0,164.5,20082037,169.3,151.93,149.6
2026-01-21,162.5,164.5,158.5,160.0,14720716,167.5,152.68,149.43
2026-01-22,163.0,168.0,163.0,165.0,8899620,166.9,153.68,149.39
2026-01-23,167.0,176.0,166.5,170.0,18831412,165.9,154.9,149.42
2026-01-26,170.0,170.0,164.5,165.0,5907329,164.9,155.97,149.41
2026-01-27,165.0,170.5,163.5,165.0,8308675,165.0,157.07,149.42
2026-01-28,168.5,181.0,166.5,177.0,30807132,168.4,158.88,149.61
2026-01-29,177.0,188.0,172.5,178.5,34190516,171.1,160.68,149.9
2026-01-30,176.0,195.5,173.5,195.5,56720614,176.2,163.38,150.55
2026-02-02,195.5,197.5,176.5,184.0,52026415,180.0,165.53,150.99
2026-02-03,191.5,195.0,173.0,180.0,47456968,183.0,167.28,151.41
2026-02-04,181.5,199.0,181.5,199.0,51767478,187.4,169.8,152.13
2026-02-05,198.5,204.0,189.0,190.5,43479512,189.8,172.12,152.72
2026-02-06,184.5,187.0,176.0,181.0,26186386,186.9,174.0,153.32
2026-02-09,188.0,190.0,181.0,181.5,25439140,186.4,175.15,153.82
2026-02-10,182.0,183.0,177.0,179.5,15412486,186.3,175.9,154.45
2026-02-11,180.0,182.0,177.0,178.0,7933789,182.1,176.35,155.06
2026-02-23,185.0,195.5,183.5,195.5,29488739,183.1,177.72,155.97
2026-02-24,200.5,214.0,200.0,211.5,34422018,189.2,179.55,157.22
2026-02-25,212.0,212.0,201.0,205.0,30652114,193.9,181.3,158.28
2026-02-26,207.5,213.5,204.0,208.5,29039302,199.7,183.5,159.38
2026-03-02,198.5,206.5,196.0,197.5,22657070,203.6,185.38,160.4
2026-03-03,198.0,205.0,191.5,192.5,19842225,203.0,186.75,161.3
2026-03-04,187.0,189.0,177.0,180.0,16441805,196.7,187.25,161.97
2026-03-05,188.5,189.0,174.0,177.0,24810772,191.1,187.85,162.55
2026-03-06,175.5,179.0,172.5,175.0,8805225,184.4,188.35,163.03
2026-03-09,157.5,163.0,157.5,163.0,16844670,177.5,187.65,163.3
2026-03-10,168.5,170.5,164.0,168.0,11675221,172.6,187.12,163.68
2026-03-11,170.0,175.5,170.0,174.5,9965436,171.5,186.07,164.18
2026-03-12,172.5,178.0,170.5,171.0,6263833,170.3,185.43,164.61
2026-03-13,169.5,188.5,168.5,188.5,23154460,173.0,185.85,165.3
2026-03-16,195.0,202.0,184.5,196.0,38866475,179.6,185.7,166.12
2026-03-17,200.0,205.0,195.0,198.5,27390175,185.7,186.1,166.97
2026-03-18,202.5,209.0,198.0,206.0,30776203,192.0,187.35,167.96
2026-03-19,203.5,219.5,203.0,210.5,34502597,199.9,188.8,169.04
2026-03-20,216.0,218.0,203.5,210.0,25800253,204.2,190.32,170.17
2026-03-23,200.5,207.5,197.5,201.5,17694773,205.3,191.5,171.19
2026-03-24,207.0,208.5,190.0,197.5,18118796,205.1,191.6,172.21
2026-03-25,204.0,214.0,204.0,207.5,19088956,205.4,191.4,173.34
2026-03-26,210.5,225.0,207.0,219.5,39985495,207.2,192.12,174.69
2026-03-27,214.0,234.5,210.0,230.5,50234521,211.3,193.22,176.22
2026-03-30,225.5,229.5,215.0,227.5,27862497,216.5,194.72,177.59
2026-03-31,220.5,221.5,204.5,207.0,37084367,218.4,195.45,178.62
2026-04-01,219.0,222.0,215.0,219.5,22601759,220.8,197.43,179.86
