d,o,h,l,c,v,ma5,ma20,ma60
2025-04-01,104.0,108.0,103.5,108.0,3822780,109.4,111.88,116.47
2025-04-02,107.5,109.0,106.5,108.0,3023854,108.3,111.5,116.22
2025-04-07,97.2,97.2,97.2,97.2,2250213,105.34,110.63,115.79
2025-04-08,92.8,94.9,90.8,93.2,14292158,102.08,109.59,115.31
2025-04-09,91.5,92.1,84.2,86.4,15500810,98.56,108.24,114.75
2025-04-10,94.3,94.3,94.3,94.3,796961,95.82,107.25,114.31
2025-04-11,93.7,96.1,88.6,95.6,9247242,93.34,106.38,113.89
2025-04-14,98.9,101.5,95.6,96.2,8044097,93.14,105.67,113.46
2025-04-15,96.7,97.5,95.9,96.5,4375836,93.8,104.92,113.03
2025-04-16,96.1,96.7,93.0,94.8,6023090,95.48,104.11,112.61
2025-04-17,93.0,93.1,90.9,91.9,6437645,95.0,103.1,112.18
2025-04-18,92.5,93.3,92.4,93.1,2822692,94.5,102.23,111.77
2025-04-21,94.1,95.3,91.4,92.0,3504516,93.66,101.26,111.42
2025-04-22,91.6,92.7,90.5,91.0,4875202,92.56,100.18,111.0
2025-04-23,93.3,94.9,93.2,94.3,5293748,92.46,99.28,110.66
2025-04-24,94.7,95.5,94.2,94.5,3298229,92.98,98.3,110.31
2025-04-25,95.7,97.1,95.6,96.5,3339274,93.66,97.45,109.95
2025-04-28,96.7,97.1,96.4,96.4,2870923,94.54,96.67,109.61
2025-04-29,96.6,97.6,96.5,97.4,2453430,95.82,96.07,109.28
2025-04-30,97.4,99.5,96.9,97.5,9503780,96.46,95.74,108.91
2025-05-02,99.1,100.5,98.6,99.5,20191876,97.46,95.32,108.66
2025-05-05,99.0,100.5,94.9,97.0,55524896,97.56,94.77,108.4
2025-05-06,96.8,99.5,96.5,99.0,31361224,98.08,94.86,108.11
2025-05-07,99.5,102.0,99.4,99.6,35817192,98.52,95.18,107.82
2025-05-08,100.0,103.0,100.0,102.0,36656090,99.42,95.96,107.54
2025-05-09,102.0,103.0,101.5,103.0,22094170,100.12,96.39,107.27
2025-05-12,104.0,105.0,103.5,104.0,21625410,101.52,96.81,107.02
2025-05-13,106.0,107.0,103.5,104.5,61084350,102.62,97.23,106.77
2025-05-14,101.0,102.5,100.5,102.5,60846770,103.2,97.53,106.47
2025-05-15,102.0,103.0,101.0,102.5,24613580,103.3,97.91,106.19
2025-05-16,102.5,103.5,101.0,101.0,32921740,102.9,98.37,105.87
2025-05-19,102.0,103.5,101.0,101.5,27759160,102.4,98.79,105.53
2025-05-20,101.5,102.0,100.0,100.0,23083240,101.5,99.19,105.18
2025-05-21,101.0,104.0,100.5,104.0,38478020,101.8,99.84,104.9
2025-05-22,102.5,103.5,100.5,101.0,36781670,101.5,100.17,104.56
2025-05-23,101.5,103.5,101.5,102.5,28616650,101.8,100.57,104.25
2025-05-26,102.5,103.0,101.5,101.5,24388080,101.8,100.82,103.92
2025-05-27,102.5,105.0,102.0,102.5,41147130,102.3,101.12,103.63
2025-05-28,104.0,104.5,102.5,103.5,37844540,102.2,101.43,103.41
2025-05-29,104.5,104.5,102.5,103.0,33289920,102.6,101.7,103.22
2025-06-02,103.0,103.5,101.5,102.0,41666710,102.5,101.83,103.01
2025-06-03,103.5,105.0,103.0,103.5,35895150,102.9,102.15,102.81
2025-06-04,105.0,107.5,105.0,107.0,46935770,103.8,102.55,102.68
2025-06-05,106.0,107.0,105.0,106.0,22540660,104.3,102.88,102.55
2025-06-06,106.5,107.5,106.0,107.0,19491900,105.1,103.12,102.44
2025-06-09,107.5,108.0,106.0,107.5,33120190,106.2,103.35,102.33
2025-06-10,108.0,108.0,106.5,106.5,29592220,106.8,103.47,102.22
2025-06-11,107.0,107.5,105.5,107.0,25914362,106.8,103.6,102.17
2025-06-12,102.0,102.0,100.0,101.0,64014120,105.8,103.53,101.99
2025-06-13,101.0,102.0,99.5,100.5,69694540,104.5,103.42,101.82
2025-06-16,100.5,100.5,98.5,98.9,54875590,102.78,103.32,101.6
2025-06-17,99.5,100.0,97.1,97.5,72060390,100.98,103.12,101.38
2025-06-18,97.9,99.4,97.6,99.1,48151200,99.4,103.08,101.17
2025-06-19,99.2,99.3,97.9,98.0,21080070,98.8,102.78,100.93
2025-06-20,98.0,98.2,96.7,97.3,18390240,98.16,102.59,100.68
2025-06-23,96.2,97.4,95.7,97.0,35494340,97.78,102.32,100.4
2025-06-24,99.0,100.5,98.6,99.9,47386230,98.26,102.24,100.17
2025-06-25,100.0,101.0,100.0,101.0,38251400,98.64,102.16,99.99
2025-06-26,100.0,100.5,98.8,98.9,32612970,98.82,101.93,99.81
2025-06-27,99.4,100.5,98.0,100.5,41459400,99.46,101.81,99.75
2025-06-30,100.5,102.5,100.0,101.0,24568168,100.26,101.76,99.63
2025-07-01,100.5,102.5,99.9,100.5,19434608,100.38,101.61,99.51
2025-07-02,100.5,103.0,100.5,102.0,19991525,100.58,101.36,99.59
